Coordinate,Chunk number,Block number
-214.7,-14,9.300000000000011
-215.3,-14,8.699999999999989
216.3,13,8.300000000000011
215.7,13,7.699999999999989
-215.7,-14,8.300000000000011
-216.3,-14,7.699999999999989
217.3,13,9.300000000000011
216.7,13,8.699999999999989
-216.7,-14,7.300000000000011
-217.3,-14,6.699999999999989
218.3,13,10.300000000000011
217.7,13,9.699999999999989
-217.7,-14,6.300000000000011
-218.3,-14,5.699999999999989
219.3,13,11.300000000000011
218.7,13,10.699999999999989
-218.7,-14,5.300000000000011
-219.3,-14,4.699999999999989
220.3,13,12.300000000000011
219.7,13,11.699999999999989
-219.7,-14,4.300000000000011
-220.3,-14,3.6999999999999886
221.3,13,13.300000000000011
220.7,13,12.699999999999989
-220.7,-14,3.3000000000000114
-221.3,-14,2.6999999999999886
222.3,13,14.300000000000011
221.7,13,13.699999999999989
-221.7,-14,2.3000000000000114
-222.3,-14,1.6999999999999886
223.3,13,15.300000000000011
222.7,13,14.699999999999989
-222.7,-14,1.3000000000000114
-223.3,-14,0.6999999999999886
224.3,14,0.30000000000001137
223.7,13,15.699999999999989
-223.7,-14,0.30000000000001137
-224.3,-15,15.699999999999989
225.3,14,1.3000000000000114
224.7,14,0.6999999999999886
-224.7,-15,15.300000000000011
-225.3,-15,14.699999999999989
226.3,14,2.3000000000000114
225.7,14,1.6999999999999886
-225.7,-15,14.300000000000011
-226.3,-15,13.699999999999989
227.3,14,3.3000000000000114
226.7,14,2.6999999999999886
-226.7,-15,13.300000000000011
-227.3,-15,12.699999999999989
228.3,14,4.300000000000011
227.7,14,3.6999999999999886
-227.7,-15,12.300000000000011
-228.3,-15,11.699999999999989
229.3,14,5.300000000000011
228.7,14,4.699999999999989
-228.7,-15,11.300000000000011
-229.3,-15,10.699999999999989
230.3,14,6.300000000000011
229.7,14,5.699999999999989
-229.7,-15,10.300000000000011
-230.3,-15,9.699999999999989
231.3,14,7.300000000000011
230.7,14,6.699999999999989
-230.7,-15,9.300000000000011
-231.3,-15,8.699999999999989
232.3,14,8.300000000000011
231.7,14,7.699999999999989
-231.7,-15,8.300000000000011
-232.3,-15,7.699999999999989
233.3,14,9.300000000000011
232.7,14,8.699999999999989
-232.7,-15,7.300000000000011
-233.3,-15,6.699999999999989
234.3,14,10.300000000000011
233.7,14,9.699999999999989
-233.7,-15,6.300000000000011
-234.3,-15,5.699999999999989
